MLS_Number,Street_Number,Street_Name,Unit,City,Price,PSF,Area,Subdivision,Market_Area,Building_SF,Bedrooms,Baths,Stories,DOM
25728808,1509,Nagle,,Houston,2900,1.29,4,EaDo,EADO,2245,3,3.1,4,11
69170843,920,Mckinney Park,,Houston,2100,1.29,4,Mckinney Park Homes,EADO,1632,3,2.1,2,84
73942055,6825,Avenue C,F,Houston,1295,1.3,4,Central Park,EADO,1000,2,1,1,294
83821315,1126,Fair Oaks,,Houston,1725,1.3,4,Houston Country Club Place,EADO,1331,3,1,1,39
53852631,404,Ennis,,Houston,2700,1.3,4,Preston Lofts,EADO,2078,3,3.1,3,88
58151860,1724,Aden Mist,,Houston,1700,1.31,4,Midtown Village,EADO,1298,2,2,2,7
65860636,444,Live Oak,,Houston,2499,1.31,4,Parkview/Bayou,EADO,1910,3,3.1,3,92
96557649,402,Hutcheson,8,Houston,850,1.31,4,Palmer Place,EADO,650,1,1,1,8
11660916,9,Ennis,,Houston,2000,1.31,4,North Ennis Twnhms,EADO,1528,3,2,2,80
25635514,2730,Freund,,Houston,2450,1.32,4,East End on the Bayou,EADO,1850,3,3.1,3,6
28593060,4727,Avenue H,,Houston,1400,1.33,4,Williams,EADO,1050,3,1,1,32
95510103,3620,Merkel,,Houston,1850,1.33,4,Merkels Sec 01,EADO,1390,3,2,1,94
12959520,27,Ennis,,Houston,2000,1.33,4,North Ennis Twhms,EADO,1505,2,2.1,2,110
84868797,1312,Live Oak,211,Houston,2350,1.34,4,Live Oak Lofts Condo 2nd Amd,EADO,1757,2,2,2,9
10590333,606,N Nagle,,Houston,2800,1.34,4,East End/Bayou Sec 1,EADO,2088,3,3.1,4,4
69142962,4917,Brady,3,Houston,745,1.35,4,Oak Lawn,EADO,550,1,1,2,26
40065662,2817,Pease,,Houston,2400,1.35,4,Leeland Gardens Sec 02,EADO,1776,3,3,,11
70720707,1207,Roberts,,Houston,2350,1.35,4,Polk Ave Gardens,EADO,1737,3,3.1,3,67
4634528,5129,Jefferson,,Houston,1300,1.36,4,Dissen Heights,EADO,954,2,1,1,83
50518596,4320,Coyle,,Houston,1600,1.36,4,Eastwood,EADO,1175,2,1,1,35
90324302,1619,Dumble,2,Houston,1495,1.36,4,Refuge Village,EADO,1100,2,1,1,5
14004847,1312,Live Oak,215,Houston,2150,1.36,4,Live Oak Lofts,EADO,1583,2,2,1,1
54489893,2423,Roufa,,Houston,1875,1.37,4,Waterhill Homes on Commerce,EADO,1365,2,2,2,44
37620101,2420,Roufa,,Houston,2850,1.37,4,Waterhill Hms/Commerce Street,EADO,2085,3,3.1,3,11
42218609,2418,Roufa,,Houston,2850,1.37,4,Waterhill Hms/Commerce Street,EADO,2085,3,3.1,3,35
56491306,1727,Aden Mist,,Houston,1775,1.37,4,Midtown Village,EADO,1298,2,2,2,49
48729701,608,Middle,B,Houston,2800,1.37,4,Decker Place Pt Rep 1,EADO,2045,3,3.1,3,37
74118093,4329,Leeland,A,Houston,1150,1.39,4,Eastwood,EADO,826,2,1,2,33
93408922,1606,Ennis,,Houston,2400,1.39,4,Leeland Gardens Sec 02,EADO,1730,3,3,3,30
97474864,1312,Live Oak,220,Houston,2100,1.39,4,LIVE OAK LOFTS CONDO 2ND AME,EADO,1512,2,2,2,20
72635385,1248,Sampson,,Houston,2150,1.39,4,Polk Ave Gardens,EADO,1552,2,2.1,2,9
33537852,4630,Clay,1,Houston,1350,1.4,4,Eastwood,EADO,964,1,1,1,29
28287989,418,Drennan,,Houston,2130,1.4,4,Wilmer Landing,EADO,1517,3,2.1,2,69
38333518,1749,Aden Mist,,Houston,1825,1.41,4,Midtown Village,EADO,1298,2,2,2,18
48134752,10,Hutcheson,,Houston,2300,1.41,4,Eado Square,EADO,1626,3,2.1,2,51
80811082,5312,Avenue J,,Houston,1750,1.42,4,Waterhill Hms/Navigation Stree,EADO,1235,2,2,2,26
77776079,109,Estelle,,Houston,1000,1.43,4,Brady Place,EADO,700,2,1,2,68
60153660,1309,Live Oak,,Houston,2999,1.45,4,Eado Place,EADO,2074,3,3.1,3,76
85296788,2409,Roufa,,Houston,1995,1.46,4,Waterhill Hms/Commerce Stree,EADO,1365,2,2,,6
24868444,1466,Munger,,Houston,1020,1.46,4,Broadmoor,EADO,700,1,1,1,29
30504427,1540,Telephone,,Houston,2195,1.47,4,Broadmoor,EADO,1496,1,1,1,73
24669371,505,Drennan,,Houston,1550,1.47,4,East End Revitalized,EADO,1054,2,1,1,128
54262256,203,Milby,3,Houston,1100,1.47,4,Merkels Add,EADO,750,1,1,1,44
89949267,4310,Clay,,Houston,1999,1.48,4,Eastwood,EADO,1351,3,2,1,30
69396517,1201,Palmer,C,Houston,2000,1.49,4,Palmer Court Twnhms,EADO,1344,2,2,2,33
13760866,120,Hutcheson,,Houston,2300,1.5,4,Eado Square,EADO,1538,3,2.1,2,15
91896834,88,Hutcheson,,Houston,2175,1.5,4,Eado Square,EADO,1448,3,2,2,55
40990748,40,Hutcheson,,Houston,2200,1.51,4,Eado Square,EADO,1460,3,2,2,4
22179698,405,Palmer,,Houston,1750,1.52,4,S M Williams Surv Abs 87,EADO,1148,2,1,1,20
5936195,712,Hughes,,Houston,1550,1.53,4,Magnolia Twnhms Sub,EADO,1012,2,2,2,11
30765612,106,Eastwood,,Houston,1500,1.55,4,Navigation Add,EADO,968,2,1,1,32
32520082,708,Hughes,,Houston,1500,1.56,4,Magnolia Twnhms Sub,EADO,960,2,2,2,8
11255961,74,Hutcheson,,Houston,2275,1.56,4,Eado Square,EADO,1460,3,2,2,77
28180385,2205,Mckinney,304,Houston,2100,1.57,4,Herrin Lofts,EADO,1339,1,1,1,25
28728735,106,Drennan,,Houston,1750,1.61,4,Brady J T,EADO,1086,2,1,1,44
58640888,3009,Preston,,Houston,2200,1.62,4,Settegast Sec 04,EADO,1360,3,2,1,11
17175209,316,Mission,,Houston,1900,1.62,4,Waterhill Homes/Navigation St,EADO,1175,2,2,2,23
44195450,309,Hutcheson,8,Houston,890,1.62,4,Palmer Place,EADO,550,1,1,2,3
10206836,309,Hutcheson,7,Houston,890,1.62,4,Palmer Place,EADO,550,1,1,2,29
67484519,4430,Clay,,Houston,1150,1.64,4,Eastwood,EADO,700,2,1,1,72
62817986,5407,Camaguey,,Houston,2100,1.65,4,Simms Woods Pt Rep 1 &,EADO,1272,3,2.1,2,11
75389824,1246,Sampson,,Houston,2050,1.66,4,Polk Ave Gardens,EADO,1236,2,2,2,29
52252476,210,Burr,2,Houston,1350,1.69,4,Oak Lawn,EADO,798,2,1,1,134
28301354,2205,McKinney,302,Houston,1495,1.7,4,Herrin Lofts,EADO,881,1,1,1,69
10322987,206,Norwood St,A,Houston,1300,1.73,4,Fullerton Place,EADO,750,1,1,1,220
90876497,4126,Clay,1,Houston,1400,1.77,4,Moody L B,EADO,793,1,1,1,5
43522801,7016,Avenue F,1,Houston,895,1.79,4,Central Park,EADO,500,1,1,1,15
23979171,2502,Saltus,2,Houston,900,1.86,4,Lubbock Grove,EADO,483,1,1,2,88
68365462,1813 1/2,Hatwell,A,Houston,800,1.88,4,Sunnylan,EADO,425,1,1,2,140
76335748,306,Saint Charles,,Houston,1650,1.88,4,Lubbock J B,EADO,880,2,1,1,46
71746951,325,Sidney,,Houston,2000,1.91,4,Electric Park,EADO,1047,3,2,1,37
67066097,4719,Clay,7,Houston,800,2,4,Eastwood,EADO,400,1,1,2,162
28775316,4410,Pease,3,Houston,850,2.12,4,Eastwood,EADO,400,1,1,2,15
66793262,427,17th,3,Houston,950,1.55,9,Houston Heights,Heights,612,1,1,2,34
43148427,427,17th,8,Houston,950,1.55,9,Houston Heights,Heights,612,1,1,2,29
13271752,427,17th,5,Houston,950,1.55,9,Houston Heights,Heights,612,1,1,2,26
25335257,427,17th,1,Houston,950,1.55,9,Houston Heights,Heights,612,1,1,2,25
87748638,6417,Main,,Houston,1200,0.5,9,Sunset Heights,Heights,2394,2,1,1,9
31181510,3611,Michaux,,Houston,1500,0.5,9,NORTH NORHILL,Heights,3024,2,2,2,10
78139801,1034,Lawrence,,Houston,1800,0.56,9,West Heights,Heights,3214,2,2,,36
14516442,2007,14th,2,Houston,1295,0.7,9,Victoria Pine,Heights,1846,1,1,1,1
